index	E0000355	E0000361	E0000362	E0000369	E0000376	E0000378	E0000382	E0000393	E0000404	E0000410	E0000416	E0000418	E0000419	E0000420	E0000426	E0000428	E0000432	E0000433	E0000435	E0000442	E0000466	E0000467	E0000471	E0000478	E0000480	E0000482	E0000488	E0000490	E0000495	E0000498	E0000501	E0000502	E0000516	E0000520	E0000521	E0000522	E0000527	E0000531	E0000537	E0000539	E0000540	E0001336	E0001340	E0001346	PV101516	PV101570	PV101581	PV101643	PV101656	PV101894	PV101895	PV101929	PV101945	PV101948	PV101962	PV102349	PV102418	PV102462	PV102474	PV102574	PV102580	PV19497	PV19551	PV19565	PV19588	PV19658	PV19708	PV19755	PV19834	PV19855	PV19856	PV19882	PV19936	PV19942	PV19991	PV20005	PV20541	PV20544	PV20615	PV21638	PV21671	PV21690	PV21772	PV21813	PV21876	PV23791	PV23961	PV24015	PV49580
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	0.04234	0.01153	0.72026	0.25576	1.75232	0.80261	0.90779	2.03675	0.02809	0.8414	0.01062	1.28872	4.35417	0.0072	0.81797	1.70509	0.03683	0.4383	0.7881	0.79654	0.01046	0.57638	1.55882	0.42184	0.32935	0.97335	0.54512	0.08115	0.84723	0.25635	0.6706	0.24903	0	0.10143	0.92695	1.23737	0.7838	0.45932	0.03285	0.24812	0.00388	0.00324	0.12019	0.62346	1.91241	1.33028	0.04721	0.76337	0.24707	0.01174	1.10415	0.00773	0.87249	4.37044	5.04522	0.52427	3.13506	1.50837	0.00898	0.00151	2.54225	0.23517	1.53536	4.92415	6.1174	0.033	0.05773	0.61221	3.02101	0.06856	0.07386	0.89186	0.01018	5.13721	1.3481	0.00197	2.21409	1.3062	0.24506	0.47876	0.03327	7.11579	0.03811	2.09381	0.04089	3.47867	4.41132	0.5132	1.18023
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_noname	0.00088	0	0.006	0	0.0081	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00267	0	0	0	0	0	0	0	0	0.0015	0	0.00115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0008	0	0	0	0	0	0.00027	0	0	0	0.00085	0	0	0	0	0	0	0	0.00067	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	58.60684	44.31465	7.92598	53.00658	25.27876	52.21134	38.88518	10.08936	6.84074	30.12409	49.30347	57.52528	36.77163	50.35944	26.9603	10.37843	12.69281	11.26072	45.5085	25.32612	52.50281	41.7964	31.31376	20.76839	35.28768	14.17044	27.70551	17.93603	34.64215	22.72991	32.76946	62.90366	8.03486	14.71233	13.72934	51.24702	29.49299	58.18954	6.66332	23.93728	17.27689	43.20127	49.60142	41.98819	8.85526	24.02505	14.11343	18.16725	32.22188	6.54114	46.78609	9.37265	19.05909	14.82642	4.21603	24.10557	40.45121	23.8212	35.31565	14.36447	21.2237	2.75299	20.829	25.69736	23.07105	14.60263	16.99705	39.92504	24.34485	12.96799	15.64923	15.52714	49.62948	26.37997	24.21349	18.68844	11.55586	13.87869	18.12004	6.55698	40.66907	5.72493	25.94267	9.42391	9.13075	20.97403	42.55203	16.72537	16.93924
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	27.08937	46.59596	70.67223	41.77775	62.02326	40.2025	38.87602	77.34461	87.31571	66.29868	23.20505	33.46591	41.81037	41.10175	67.52618	66.20891	81.66189	55.84063	45.57626	52.23446	34.10355	52.7289	59.8454	56.03419	60.24809	74.24718	42.52311	78.99537	51.81008	62.65093	60.50862	32.26615	85.75083	49.43016	72.99972	30.86024	40.78935	33.80485	85.02861	63.52945	66.31386	51.59165	44.27859	50.91783	65.60094	67.02184	81.78782	73.54034	59.24474	87.33619	34.49425	64.94146	74.6414	75.62722	83.14191	18.72283	34.57197	48.25641	51.16238	35.35509	45.67055	74.50216	72.78384	56.56638	63.1413	82.27828	67.07126	46.11281	54.39299	85.19619	54.3119	60.18103	45.26541	64.32355	57.30099	72.33921	77.16298	64.24236	80.897	53.76389	53.08024	78.45115	69.86802	74.63493	66.27841	68.13299	39.33646	74.23396	54.82735
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	8.91381	0.08239	12.38757	3.31943	4.97987	1.61716	4.39976	0.06121	0.0195	0.04525	1.31052	0.01448	0.02017	4.62489	2.34805	6.66655	2.04038	14.24091	3.88068	0.0115	4.43222	0.10896	3.52107	0.22309	1.92749	4.45242	22.24944	0	7.16025	2.49978	0.03794	0.04055	0.01696	2.28332	1.54402	1.64444	4.71212	1.56499	6.67868	1.69541	8.81045	0.09101	2.9804	4.09433	8.67925	1.1666	0.02783	1.84356	4.17313	2.48234	0	18.28967	0	1.96709	6.3051	5.51254	15.1691	0.41074	11.28845	6.82515	12.1132	12.35786	0.45706	0.0748	5.71752	1.47621	10.55428	0.00242	2.60189	0	6.32984	4.32493	0.89028	0	0.00042	1.6956	3.13938	17.6008	0	1.10105	0.50711	0.08338	1.09199	11.3296	0.19535	4.62206	3.67668	6.33187	0.0054
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	2.23523	0.00449	0.18832	0.39703	1.13571	0.71447	0.57143	1.72253	0.2162	0.07822	17.07307	0.27062	8.36947	2.60303	0.2269	0	0.63839	2.78781	0.91051	0.18245	2.46323	0	1.16306	0	0.37935	0.59338	2.28706	0	0.71068	0.0809	0.06433	1.16209	0.57415	0.12504	0.54654	0.20674	21.89542	1.88487	0.05558	0	0	2.28972	0.67325	0.24379	10.12247	2.73123	0	0.00357	0	0.27644	3.31096	1.23738	1.95161	0.27741	0.02816	0.51351	3.14881	0.06489	1.00126	1.71231	1.2771	0.08436	3.72341	0.0501	0.06962	0.06257	1.85434	0.06794	0.00238	0.49203	0.58117	0.30785	0.06863	0.27643	6.02318	0	0.07035	0.01327	0.22974	0.02086	0.34269	4.59459	0.03785	0.19755	0.31835	0	3.0421	0.01407	0.04377
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	1.41758	0.94287	0.9663	0.18307	0.2756	0.1659	6.10339	0.1319	0.06343	0.06626	0.7897	0.03914	0.18877	0.18669	0.02535	0.00255	0	0.57307	0.01727	0.13377	1.40044	0.18004	0.0048	5.49267	0.00186	1.6809	0.07468	0.08352	0.08727	8.85982	0.20672	0.14071	0.06558	1.06698	0.05785	0.05523	0.03784	0.42877	0.03344	0.01177	0.08882	0.24081	0.08567	0.16481	0.60601	0.0458	0	0.02615	1.32642	0.20227	0.01769	0.49678	0.04258	0.12034	0.07224	40.36889	0.59442	0.08331	0.08372	0.71725	0.65492	0.04639	0	0.04277	0.1513	0.00872	0.01894	0.15581	0.04304	0.06282	0.09538	0.01617	1.03534	0.00243	0.32871	0.00073	0.02889	0.04897	0.00294	0.19825	1.32065	0.04397	0.32008	0.10815	7.0259	0.12643	0.36651	0.33147	0.0347
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales	0.6246	0.35897	0.14141	0.43571	3.06728	0.22558	0.30116	0	0.05162	0.4947	0.98173	1.03538	0.00332	0.09532	0.3655	0.54004	0.21483	0.44859	0.52247	0.4089	0.63278	0.85868	0.54617	3.21634	0.12158	0.14937	0.21487	0.32845	0.36691	0.7425	0.65218	0.26211	0.52124	0.02216	0.31094	0.69454	0.38676	0.10506	0.15759	0.24841	0	0.26598	0.67292	1.00854	1.07849	1.87753	0.24294	0.38581	0.64079	0.71572	2.42863	0.88778	0.15098	0.33223	0.48049	0.6284	1.73034	0.10455	0.62023	0.55164	0.2056	1.12123	0.12035	0.08086	0.44192	0.03069	2.26131	4.98309	0.63575	0.17208	0.48758	0.11396	0.0812	0.23081	2.07082	0.09322	0.58182	0.26052	0.19438	0.18544	0.92298	0	1.31691	0.11623	0.28271	0.77568	0.59468	0.16735	0.06892
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	0.51566	0.02205	0.06517	0.27505	0.39358	0.00782	0.74559	0.01373	0	0.00047	0.19062	0.16955	0.29401	0.37026	0.1962	0.09813	0.34958	0.00744	0.03911	1.07206	0.76979	0.96185	0.17519	0	0.02715	0.31176	0.00416	0	0.00949	0.06628	0.89537	0.0005	0	0.24709	1.3913	1.13283	0	0.68103	0.18866	0.11819	0.06576	0.31549	0.00875	0.14756	0	0	0	0	0	0.01128	0	0.00481	0.00497	0.42431	0.0481	0.01015	0.79772	7.23993	0.04953	0.00995	0.23244	0.02751	0.02702	0	0.21499	0	0.263	0.2186	0	0	0.03149	0	2.0841	0	0.00214	0	0	0.18186	0.013	0	0.83209	0.02042	0.03571	0	0.01682	0.00135	0.43865	0.11973	0.01149
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	0.19842	0.01459	0.05649	0.02924	0.02034	0.12428	0.06332	0.29694	0.18728	0.0099	1.29073	0.03021	0.0284	0	0.05258	0.08335	0.85162	0.0391	0.10771	1.04926	1.05445	0.38426	0.81952	2.76532	0.16185	0.08439	0.14428	1.78962	0.02886	1.07968	0.44073	0.09242	0.197	0.00579	0.07993	0.04287	0.02404	0.67728	0.00319	0.46707	0.2875	0.07575	0.1919	0.03266	0.06807	0.04417	0.42782	2.49624	0.46233	0.08549	0.15453	2.42967	0.74791	0.02372	0.0505	1.84812	0.02693	0.08484	0.00926	1.49068	6.83407	0.04226	0	11.64287	0.02998	0.04422	0.01579	0.05875	1.25914	0.09607	0.0191	0.29913	0.01032	0.10415	0.1237	0.08416	1.33641	0.06774	0.03528	0.10359	0.38716	0.002	0.0452	0.0378	0.01466	0.2259	3.80641	0.51298	0.01118
