index	E0000355	E0000361	E0000362	E0000369	E0000376	E0000378	E0000382	E0000393	E0000404	E0000410	E0000416	E0000418	E0000419	E0000420	E0000426	E0000428	E0000432	E0000433	E0000435	E0000442	E0000466	E0000467	E0000471	E0000478	E0000480	E0000482	E0000488	E0000490	E0000495	E0000498	E0000501	E0000502	E0000516	E0000520	E0000521	E0000522	E0000527	E0000531	E0000537	E0000539	E0000540	E0001336	E0001340	E0001346	PV101516	PV101570	PV101581	PV101643	PV101656	PV101894	PV101895	PV101929	PV101945	PV101948	PV101962	PV102349	PV102418	PV102462	PV102474	PV102574	PV102580	PV19497	PV19551	PV19565	PV19588	PV19658	PV19708	PV19755	PV19834	PV19855	PV19856	PV19882	PV19936	PV19942	PV19991	PV20005	PV20541	PV20544	PV20615	PV21638	PV21671	PV21690	PV21772	PV21813	PV21876	PV23791	PV23961	PV24015	PV49580
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_noname|s__Lachnospiraceae_bacterium_8_1_57FAA	0.03354	0	0.04185	0.54044	0.02767	0	0.22676	0	0	0	0	0	1.3931	0	0	0	0	0	0	0.04921	0.0745	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00797	0	0	0	0.00674	0	0	0	0.08257	0	0.05471	0.017	0	0.05862	0	0	0	0.00902	0	0.28013	0	0.09755	0.08841	0	0	0.01205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04006	0	0	0	0	0	0	0	0	0	0.11739	0.02559	0.07564	0	0.02089
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__Peptostreptococcaceae_noname|s__Peptostreptococcaceae_noname_unclassified	0.02923	0.01552	0.04188	0.0141	0.11369	0	0.0216	0	0.01067	0	0.00033	0.04515	0.18831	0	0	0	0.00898	0	0.05932	0.00671	0.00291	0	0	0.06894	0	0.0027	0	0	0.02536	0	0.42637	0	0	0	0	0.05186	0.04297	0	0.01277	0	0.01673	0.07105	0.01005	0.01003	0.18802	0.02794	0	0.02569	0	0	0.01634	0.22737	0	0	0	0.19955	0.26427	0	0.01381	0.02196	0.10097	0	0	0	0.49143	0	0.16936	0	0	0	0	0	0.04809	0	0	0.02235	0.03348	0.08179	0	0.0795	0.18087	0.00828	0.08816	0.01543	0	0.00219	0	0	0
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Turicibacter|s__Turicibacter_sanguinis	0.02718	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.23935	0	0	0	0	0	0	0	0	0	0.00126	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01613	0	0	0	0	0	0	0	0	0	0	0.0235	0	0.00647	0	0	0	0	0	0	0	0	0	0.00156	0	0	0	0	0	0	0	0	0	0	0	0	0.05246	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Alcaligenaceae|g__Alcaligenes|s__Alcaligenes_unclassified	0.02701	0	0	0	0	0.00038	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00088	0	0	0	0	0	0	0	0	0	0	0.00564	0	0	0	0	0	0	0	0	0	0.00388	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_infantis	0.02654	0	0.00409	0	0.00118	0.0009	0.01188	0	0	0	0.00739	0	0.0029	0	0	0	0	0	0	0.00645	0.00421	0.00793	0	0	0	0.01362	0	0	0	0.02128	0	0	0	0.00343	0	0.00163	0	0.00296	0	0	0.00245	0	0	0	0	0	0	0	0.00432	0	0	0	0	0	0	0.00446	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00041	0	0	0	0	0.00094	0	0.00285	0	0	0.00502	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae|g__Granulicatella|s__Granulicatella_unclassified	0.02316	0	0.00608	0.00151	0.00394	0.00204	0.01158	0	0.00255	0	0.0109	0	0.01987	0.00607	0.00143	0	0	0	0	0.01602	0.00673	0.01452	0	0	0	0.01536	0.00709	0	0.00099	0.00533	0.00394	0	0	0.00326	0.00568	0.0024	0	0.00769	0	0	0.00754	0	0.00802	0.00206	0	0	0	0	0.00879	0	0	0.00509	0	0	0	0.00116	0	0.00832	0	0.00978	0	0.00295	0	0.00278	0.01024	0	0	0.01011	0	0.00376	0	0.00395	0.00534	0	0	0	0.00447	0.0015	0	0.00298	0	0	0.01903	0.01009	0	0	0	0.00743	0.00213
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Eggerthella|s__Eggerthella_unclassified	0.01874	0.05619	0.01404	0	0.18421	0.02206	0	0	0.04346	0.16265	0	0.00971	0.00332	0.09532	0.05037	0.01242	0.1724	0.00226	0.001	0.05486	0.03792	0.11638	0.01128	0.11265	0.064	0.0084	0.03747	0.29958	0.02913	0	0.03366	0.09233	0.05592	0.00531	0.05454	0.00388	0.00082	0.01783	0	0.18476	0	0	0.22424	0.03137	0.04298	0.20367	0.2376	0	0.37724	0.02706	0.1411	0.34347	0.02661	0.05612	0.14551	0	0.05992	0.01197	0.14725	0	0.1017	0.00297	0	0	0.0136	0.02556	0.00019	0.03858	0	0.16563	0.34887	0.01215	0.01835	0.21446	0.42968	0.08672	0.00683	0.02394	0.05154	0.0007	0	0	0.07613	0.01691	0.01601	0.01287	0.00295	0.10985	0.006
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Holdemania|s__Holdemania_unclassified	0.01853	0.00159	0	0	0	0	0	0	0	0	0.02784	0.01672	0	0	0	0.02381	0	0	0.01469	0	0	0	0.01121	0	0	0	0.0189	0	0.00623	0.00364	0	0	0	0.00579	0	0	0	0.00815	0	0	0	0	0	0.00329	0.01131	0	0.06777	0	0	0.00327	0.02082	0.0043	0	0	0	0.00019	0	0.00678	0.0067	0	0.00133	0	0	0.01348	0	0.04121	0	0	0.03933	0.02442	0	0	0	0	0.00596	0.02961	0	0.00081	0	0	0	0	0.01419	0	0.0025	0.0007	0	0.02918	0.01118
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Parasutterella|s__Parasutterella_excrementihominis	0.01533	0	0	0	0.00293	0.3407	0	0	0	0.03963	0	0.99095	0	0	0.80873	0	0	0	0.07422	0.58035	0	0	0	0.27164	0.14479	0	0.33922	0	0	0	0.49345	0.10005	0	0	0.24488	0.05534	0	0.26415	0.02109	0.17849	0	0	0.11353	0	0.13971	0	0	0.01476	0	0	0	0	0.0012	0	0.00433	0	0	0.14119	0	0	0	0	0	0.04292	0.00227	0	0.05245	0.01593	0.00208	0	0.03419	0.01314	0	0	0.11624	0	0	0	0.11486	0	0	0	0.03811	0	0.01224	0.01057	0.02585	0.37203	0.00032
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_gordonii	0.0151	0	0.00042	0	0.0023	0	0.01446	0	0	0	0	0	0	0.00089	0	0	0	0	0	0	0.02464	0	0	0	0.00103	0.00349	0	0	0	0.07709	0	0	0	0	0	0	0	0.00612	0	0	0	0	0	0	0	0	0	0	0	0.00264	0	0	0	0	0	0.07037	0	0	0	0.00431	0.00413	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00105	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_shahii	0.01499	0.02014	0	0.74838	0.02591	0.73186	0.45342	0	0.15778	0	0	0.7012	0	0	1.54696	0.20442	0	0.09541	0.07709	0.01544	0.38791	0.94957	0.45359	1.19148	1.90218	0.16242	0	1.22097	0.83538	0.08105	0.07918	1.60296	0	0.24058	0	0.71422	3.04768	0.41487	0.23317	0.00244	0	4.20237	0.21159	0.00879	1.50575	0.56157	4.05353	0.24159	0	0.45607	1.04523	0.2112	0	1.15194	0	1.16175	0	0.31681	0	0.02091	0.01519	0	1.82893	1.64751	0.07725	1.08969	0.0169	0.8552	2.45259	1.47463	0.03442	3.47572	0	0.48072	3.85039	2.63423	0.00472	0	0.04918	0.05752	0.10817	0	0.83471	0.4578	0.08122	0.14592	0.94633	0.65824	0.26804
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae|g__Granulicatella|s__Granulicatella_adiacens	0.0147	0	0	0	0.00166	0	0.00236	0	0	0	0	0	0.00081	0	0	0	0	0	0	0	0.00329	0	0	0	0	0.00103	0	0	0	0.00745	0	0	0	0	0	0	0	0	0	0	0.00126	0	0	0	0	0	0	0	0	0	0	0.00075	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00095	0	0	0.00306	0.00056	0	0	0	0.00397	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_intestinalis	0.01307	0.43343	0	0.00026	0.44608	0.01968	0.56666	0	0	0	0.00513	0.39936	0	0.0023	0	0	0	0.00162	0.40523	0.16067	0.00046	0.00241	0.01537	0.13975	0.04329	0.03717	0	0.19725	0.00345	0.03019	0	0.06478	0	0.0267	0	0	0.27769	0.00114	0	0	0	0.08571	0.2449	0.01813	0	0.02855	0	0.02529	0	0.02209	0.43457	0	0.48703	0.00732	0	0	0	0.00097	0	0.01465	0.43716	0	0	0.00032	0	0.03454	0.22523	0.06935	0.01059	0.28872	0	0.09595	0	0.03014	2.10006	0.0229	0	0	0.00371	0.01444	0.29254	0	0.20261	0	0.00998	0	0.0995	0.03079	0.00215
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|s__Pseudomonas_unclassified	0.01084	0	0	0	0	0	0	0	0	0	0	0	0.02667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Megasphaera|s__Megasphaera_micronuciformis	0.0101	0	0.0235	0	0.00018	0	0	0.00015	0	0	0	0	0	0	0	0	0.34987	0	0	0	0	0	0	0	0	0	0	0	0	0.00239	0	0	0	0	0	0	0	0	0	0	0.00547	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00396	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00024	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_vestibularis	0.00851	0.00294	0.02859	0	0	0	0.16445	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00556	0	0	0	0	0	0	0	0.01684	0	0	0	0	0	0.01417	0	0	0	0	0	0	0.01264	0	0	0	0.06061	0	0.00537	0.02691	0	0	0	0.17343	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01442	0	0	0	0.00159	0	0	0	0	0	0	0	0.01652	0	0.00436	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_finegoldii	0.00834	0.77669	0.82981	0.03584	0.48002	0	0.60258	0	0	0.15755	0	0	0	0	0	0.08754	0	0	0	0.06339	0.02874	0	0.0192	0.00438	0	0.04941	0.30003	0	4.98813	0	0	0.69559	2.53094	0.29558	0	0	0	0.0967	0.12273	0	0	2.099	0	0	0	0	0	0.26946	0	0	0.73809	0	0.00083	0	0	0	0	0.15963	0	0.0103	0	0	0	0	0.07074	0	0	1.17511	0.15377	0	0	1.43108	0.82477	0	0.38553	0.73472	0	0.05454	0.94275	0.02638	0.00584	0	0.18489	0.03064	0.29912	0.06447	0.41178	0	0.3927
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_noname|g__Clostridiales_noname|s__Clostridiales_bacterium_1_7_47FAA	0.0082	0	0.00149	0	0.00265	0.00651	0.05013	0.05128	0.02811	0.0281	0.00184	0.0316	0	0.00748	0.00413	0	0.13235	0	0.01776	0.0197	0	0.02532	0	0.07397	0.00881	0	0.01567	0.09573	0.00083	0.00971	0.03184	0	0.25453	0	0	0	0	0	0	0.02912	0	0	0.0012	0.00498	0.00034	0	0.00251	0	0.00549	0	0.01199	0.00889	1.39112	0.00345	0	0	0	0.00261	0	0	0.01088	0.00503	0	0	0	0.00671	0	0	0.00101	0.07396	0	0.0032	0.00572	0.0081	0.11211	0.00358	0	0	0	0.00641	0	0	0	0	0	0.00465	0	0.05456	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__Peptostreptococcaceae_noname|s__Clostridium_bartlettii	0.00751	0.01446	0.00396	0	0.03031	0.0332	0	0.06922	0.00032	0.0796	0.04232	0.03555	0.01518	0.05921	0.10767	0	0	0	0.04632	0.01126	0.60919	0.10391	0.37007	0.04275	0.11937	0.03882	0	0.01108	0	0	0.00526	0.23142	0.17864	0	0.03258	0.00543	0.00071	0.19161	0.002	0.00123	0.00705	0	0	0	0.07742	0	0.1799	0	0.46929	0	0.26955	0	0.00654	0.01716	0.00284	0.05529	0.01014	0.33832	0.06719	0.02425	0.00325	0	0.00155	0	0.07766	0	0	0.28111	0	0.07181	0.21281	0	0.01047	0.425	0.14982	0.00164	0	0.05844	0.09136	0.01361	0	0.00252	0.06243	0	0	0.02584	0.51732	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_hathewayi	0.00556	0.01243	0.00884	0	0.00981	0.00397	0.00814	0.10907	0.00905	0.04394	0.00352	0.0082	0	0.01072	0.00841	0	0.43757	0.00142	0.01122	0.0265	0.01035	0.19175	0.01722	0.88782	0.03406	0	0.01647	0.13888	0.0007	0.05652	0.01995	0.05824	0.05235	0	0.03727	0	0.01029	0	0.00166	3.58768	0	0.00796	0.02464	0.01332	0	0	0.14043	0	1.19709	0.00061	0	0.03572	0.72748	0.00019	0	0.2992	0	0.0021	0.00362	0	0.0101	0.0049	0	0	0	0.00203	0	0.0018	0.00126	0.1227	0	0.12074	0.01446	0.00047	0.02005	0.09627	0	0.00064	0	0.00512	0	0.01418	0	0.00238	0	0.00873	0.0051	0.04129	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_asparagiforme	0.00457	0.00257	0	0.00265	0.0106	0.01042	0.07868	0	0.00717	0	0.01102	0.01144	0	0.03088	0.10655	0	0.2037	0.00609	0.12882	0.05852	0	0.01877	0.0056	0.05642	0.0319	0.00975	0.06701	0.16828	0.00714	0.00135	0.00876	0.03549	0	0	0.07051	0.00443	0	0	0	0.05652	0	0.00535	0.01936	0.0264	0.00651	0	0.05803	0	0.02147	0.00804	0.03002	0.06887	0.00038	0.00027	0	0	0	0.0418	0.02254	0	0.04892	0	0	0.00081	0	0.01726	0	0.02447	0	0.08223	0	0.00244	0.02568	0	0.02388	0.02498	0	0.00422	0	0.02313	0	0	0	0.04497	0.00055	0.01468	0.00455	0.12843	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_noname|s__Lachnospiraceae_bacterium_1_1_57FAA	0.00439	0.78842	0.01439	0.00331	0.942	0.2399	0	0	0	0.77479	0.32617	1.30197	0	0.16491	0.38551	0	0	0.03057	0.0505	0.04046	0.00638	0.68333	0.28879	0.07119	0.71827	0	0	0.02825	0.20208	1.19987	0	1.19452	0.07308	0.01759	0.29234	0.23476	2.66221	0.17455	0.0096	0.22627	0	0.16981	1.15318	0	0.01185	0.07355	0	0.0614	0.48586	0	0.05467	0	0.07108	0.20958	0.17593	0.0118	0	0.05896	0.63369	0	1.38388	0.01296	0.3861	0.07387	0.22299	0.44681	0.42862	1.76389	0.79133	0	0.17629	0.04581	0.13995	0.17441	0	0	0.00464	0.03724	0.03251	0.14837	0.15258	0	0	0.03687	0.02352	0.0029	0.06062	0.19535	0.05885
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_citroniae	0.00425	0.01074	0	0	0.01131	0.01106	0.04391	0.03236	0.00041	0.04127	0.09877	0.00953	0.01809	0.03616	0.06338	0.01297	0.05035	0.00371	0.04624	0.07257	0	0.06225	0.00369	0.00908	0.02026	0.00507	0.02142	0.05584	0.01735	0.00391	0.00846	0.03068	0.12889	0	0.01462	0.00559	0.00486	0.0057	0	0	0	0.02638	0.01569	0.04305	0.01357	0	0.05551	0	0.20841	0.00261	0.03469	0.0173	0.03425	0	0.00092	0	0	0	0.00694	0	0.00738	0	0	0	0	0.04495	0.00311	0.00776	0.0007	0.08929	0.00966	0.00499	0.03484	0.00505	0.11622	0.01403	0	0	0.00221	0.0056	0	0	0.02119	0.0118	0	0	0	0.04274	0.00139
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Solobacterium|s__Solobacterium_moorei	0.00361	0	0.04299	0	0	0.00051	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00049	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0003	0	0	0	0	0	0	0	0	0	0	0.00304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00605	0	0	0.004	0	0	0	0	0	0	0	0.00246	0	0	0	0	0.00086	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_thermophilus	0.00277	0	0	0	0	0	0.02421	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Megamonas|s__Megamonas_hypermegale	0.0022	0	0	0.76173	0.01001	0.00923	0	0	0	0	0	0	0	0	0.02117	0.47284	0	0.18651	0	0	0.15743	0	0.00185	0.00842	0	0	0.16768	0	0.10037	0	0	0	0	0	0	0	0	0	0.01503	0	0	0	0.14293	0	1.32971	0	0	0.11564	0.05782	0.02316	0	0.16	0	0.06533	0.00217	0	0.15579	0	0.18609	0.00494	2.76071	0	0.01242	0	0	0.0008	0.00161	0	0	0	1.28441	0.4069	0	0	0	0.0157	0	0.48218	0	0.19617	0	0	0.23036	0.19246	0	0.58477	0.03468	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_fragilis	0.00166	0.43441	0	0.0012	0	0.0082	0	49.98003	1.1886	0.00099	0	0	17.82965	2.22014	0.02856	0	1.40019	0.00372	0	4.21279	0	1.38432	0.70589	0	0	0.01479	0.05551	0	1.12415	0	9.53468	0.79822	0	0.48222	2.08319	4.47076	1.74332	0.21246	0	12.85235	3.6262	1.89276	0.97486	0.00512	1.30164	0	0.86843	0	3.19108	0	0	0.10147	0	0	0.86234	0.55201	3.90841	0.57315	0.35777	0.02628	3.59116	0.29463	0	0	0.03761	0.0035	0.29508	0.34939	0.02318	0	0	0.55148	0	0	0.78706	0.47004	0.15025	3.83924	0	0	0	4.00839	0.37947	0.09375	0	0	0.4655	0	0.9886
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Bilophila|s__Bilophila_wadsworthia	0.00118	0.00605	0.04655	0	0.01097	0	0.01986	0.00081	0.02366	0.07922	0.00146	0.02045	0	0.04244	0.09087	0.00962	0.02764	0.03139	0.0305	0.10806	0.00619	0.13359	0.00633	0	0.00569	0.02368	0.01076	0.00102	0.00495	0.00198	0.01633	0.06532	0	0	0	0.05856	0.04019	0.102	0.02192	0.21752	0	0.00505	0.038	0.00503	0	0.00181	0.05747	0	0.10029	0.01085	0.02996	0.0998	0.16456	0.02277	0.03913	0.00138	0.00036	0.08004	0	0	0	0.01244	0	0.01939	0.00141	0.07157	0.02087	0.02547	0.00143	0	0.02528	0.0109	0.04879	0.06877	0.17285	0.04018	0	0.00385	0.00758	0.02603	0	0.17205	0.01522	0.0471	0.00202	0.03805	0.0043	0.02103	0.00858
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_noname|s__Lachnospiraceae_bacterium_7_1_58FAA	0.00118	0.00291	0.03103	0	0.02997	0.00344	0.00754	0.00364	0.00347	0	0.00734	0.03216	0.00193	0.00144	0.04137	0.00091	0	0.00277	0.04853	0.00417	0.00506	0.01391	0.00213	0.01466	0.08572	0.00513	0	0.02363	0.00432	0	0.00195	0.00765	0.00372	0	0.03479	0	0.00393	0.00016	0	0.04776	0	0.02047	0.01675	0.00597	0.01781	0.0276	0	0.00167	0.01833	0	0.05811	0.08109	0.01876	0	0.00129	0	0	0.00678	0.00107	0	0.00246	0.00101	0	0.03206	0.00662	0.05683	0.03077	0.00513	0.02559	0.0045	0.00059	0.02615	0	0.00227	0.01898	0.07253	0	0.01355	0.09388	0	0.00047	0	0.00528	0.00672	0.00093	0.00309	0	0.00131	0.00049
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Anaerostipes|s__Anaerostipes_hadrus	0.0011	0.00532	0	0	0.04188	0.00332	0.00431	0.09669	0.02441	0.00255	0.05476	0.00521	0	0.03297	0	0.00222	0	0.01346	0.0201	0.00045	0.02991	0.00921	0	0	0.00968	0.01134	0.00281	0.04023	0.05054	0.00434	0.00702	0.01225	0	0	0.00023	0	0.00476	0.00401	0	0.00168	0	0.04634	0.00181	0.00817	0.00814	0	0	0.00069	0	0.01141	0.0448	0.00298	0	0.00962	0.01516	0.00145	0.06638	0.03457	0.05811	0.00358	0.00861	0	0.00164	0	0.01642	0.01914	0	0.0177	0	0.47683	0.19294	0	0.00148	0.03126	0.04616	0.00994	0.01418	0.00475	0.00642	0.0006	0.00756	0	0.01871	0.00141	0.0011	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_noname|g__Flavonifractor|s__Flavonifractor_plautii	0.001	0.03398	0.04065	0.00056	0.02747	0	0.00463	0.05782	0.0406	0.02852	0.01818	0.02882	0.01301	0.13333	0.26916	0.00446	0.06907	0	0.0542	0.03965	0.00063	0	0.01008	0.00849	0	0	0.00784	0.03611	0.01726	0	0.0129	0.0124	0.03908	0	0.08659	0	0.0027	0	0.00221	0.15172	0	0.04348	0.0107	0.04174	0.01368	0.02282	0.01435	0.00116	0.06037	0.02238	0.12019	0.22872	0.16614	0	0.03471	0	0.01434	0	0.03898	0	0.05436	0.02065	0	0.09452	0	0.20322	0.00262	0.01493	0.01779	0.14517	0.03886	0.05942	0.32936	0.01751	0.01851	0.06674	0	0.09685	0	0	0	0	0.0071	0.13064	0.00039	0.03786	0.00032	0.0379	0.00082
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Parabacteroides|s__Parabacteroides_goldsteinii	0.00097	0.38197	0	0.00061	0.06615	0.01096	0.00037	0	0	0.14389	0	0.00197	0	0	0	0	0	0.01052	0.2096	0.03896	0	0.01391	0.01866	3.27563	0.41586	0.03961	0.04952	0	0.2258	0.01565	0.02684	0.02218	0	0.0008	0	0	0.04927	0	0.0031	1.01097	0	0.06285	0.09419	0.02063	0	0.08146	0.00213	0.01265	0	0	0.09482	0.05186	1.49549	0.1435	0	0.03724	0	0.02942	0	0	0.07823	0	0.06643	0.3693	0	0	0.10269	0.00068	0.02095	0.02753	0.1954	0.06028	0.00101	0.00304	0.01549	0	0	0	0	0.04001	0.02455	0	0.00253	0.02967	0.11379	0.00311	0.04393	0	0.01879
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Atopobium|s__Atopobium_parvulum	0.00078	0	0.00681	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0091	0	0	0	0	0	0	0	0	0	0	0	0.0006	0	0	0	0	0	0	0.0012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_symbiosum	0.00067	0.02219	0.00954	0	0	0.00023	0.00711	0	0.00684	0	0.00155	0.00962	0	0.05086	0.00251	0	0	0	0.02087	0.24251	0.00569	0.02567	0	0.07758	0.02705	0.00209	0.03828	0.01466	0.00139	0.00024	0.03212	0.02868	0	0	0.01139	0.07399	0	0	0	0.34961	0	0	0.00111	0	0	0	0.15477	0	0.02194	0.0065	0	0.00959	0	0.01926	0	0	0	0.03924	0	0	0.00289	0.0003	0	0	0	0.02916	0	0	0	0.38751	0.01597	0.00482	0.00556	0.0058	0.0128	0	0	0	0.00739	0.03839	0	0	0.00463	0	0	0.19032	0.00444	0.02177	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_australis	0.00024	0	0	0.02709	0.01547	0.01188	0.01458	0	0	0	0.04903	0	0.05656	0.00413	0.00147	0	0	0	0.00246	0.08707	0	0.00347	0	0	0	0.045	0.00345	0	0	0.00298	0.01438	0.00936	0	0.00757	0.01953	0.02297	0.00308	0.04171	0.00187	0	0.04971	0	0.01141	0	0.00383	0.00142	0	0	0.01218	0	0.0006	0.00621	0.01354	0	0	0.01628	0.07547	0.02044	0.00697	0.01326	0.01023	0	0	0	0.0288	0	0	0.01681	0	0	0	0.00765	0	0	0.01872	0	0.00055	0.0068	0	0.00524	0.0031	0.00247	0.09728	0	0	0	0	0	0.00135
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_noname|s__Lachnospiraceae_bacterium_5_1_57FAA	0.00023	0	0.00211	0	0	0	0	0	0	0.00105	0	0	0	0.0108	0	0	0.05823	0.00047	0.00183	0.03349	0	0.0006	0	0.00253	0	0	0	0.00566	0	0	0	0	0	0	0	0	0	0	0	0.0086	0	0	0	0	0	0.01523	0	0	0	0	0.00687	0.04712	0	0.00084	0	0	0	0.00385	0.00131	0	0	0	0	0	0	0.00847	0	0.0005	0	0.01856	0	0	0.13562	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
